model_id,display_name,group,category,architecture,encoder,input_mode,miou,dice,pixel_acc,params_m,train_seconds,train_minutes
metal_unet_edge4_r34,Metal-U-Net RGB+Sobel (ResNet34),metallography,edge-aware,Unet,resnet34,edge4,0.5604979533208364,0.6750223142045045,0.8020441382333066,24.441245,5.508267879486084,0.0918044646581014
metal_unet_clahe_r34,Metal-U-Net CLAHE (ResNet34),metallography,micrograph-contrast,Unet,resnet34,clahe_rgb,0.5470473787723783,0.6626856713129979,0.7925314382431082,24.438109,5.621365308761597,0.09368942181269328
metal_segformer_clahe_b0,Metal-SegFormer CLAHE (MiT-B0),metallography,micrograph-contrast,Segformer,mit_b0,clahe_rgb,0.5347572883042687,0.6603800719723103,0.7605928175331251,3.717485,4.06472110748291,0.06774535179138183
metal_linknet_edge4_r34,Metal-LinkNet RGB+Sobel (ResNet34),metallography,edge-aware,Linknet,resnet34,edge4,0.5073291803477207,0.619732823052399,0.7541378211210569,21.775469,4.402167558670044,0.0733694593111674
metal_unet_lbp_r34,Metal-U-Net LBP Stack (ResNet34),metallography,texture-aware,Unet,resnet34,lbp3,0.4795116229452556,0.5933485314054887,0.723610457407658,24.438109,6.024663686752319,0.10041106144587199
metal_deeplabv3p_clahe_r34,Metal-DeepLabV3+ CLAHE (ResNet34),metallography,micrograph-contrast,DeepLabV3Plus,resnet34,clahe_rgb,0.4730034722412622,0.5886751479037007,0.7050091590899696,22.440541,4.5651326179504395,0.07608554363250733
metal_segformer_gray_b2,Metal-SegFormer Gray (MiT-B2),metallography,micrograph-contrast,Segformer,mit_b2,gray,0.4564730572369748,0.5684652871865211,0.711009371954603,24.719181,6.478973150253296,0.10798288583755493
metal_unet_gray_r34,Metal-U-Net Gray (ResNet34),metallography,micrograph-contrast,Unet,resnet34,gray,0.4538280991873119,0.576761415869883,0.6221239234247861,24.431837,5.319585800170898,0.08865976333618164
metal_unetpp_gray_r34,Metal-U-Net++ Gray (ResNet34),metallography,micrograph-contrast,UnetPlusPlus,resnet34,gray,0.4349982776003238,0.5405466480517717,0.6872890658468052,26.074077,9.614816427230835,0.16024694045384724
metal_mlography_unet_vgg16_gray,MLography U-Net (2022-style),metallography,metallography-original,Unet,vgg16,gray,0.43171436199477187,0.547985858965456,0.6785181671039825,23.748829,9.413995265960693,0.1568999210993449
metal_fpn_gabor_r34,Metal-FPN Gabor Stack (ResNet34),metallography,texture-aware,FPN,resnet34,gabor3,0.4197299900044962,0.5443605393972092,0.6630430852814478,23.156941,4.562272071838379,0.07603786786397299
metal_upernet_clahe_b2,Metal-UPerNet CLAHE (MiT-B2),metallography,micrograph-contrast,UPerNet,mit_b2,clahe_rgb,0.35580585583380714,0.46311459781216957,0.5955200874459501,32.530893,9.057300567626953,0.1509550094604492
